addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"ул. Лобненская, д. 4А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.889881,37.537676,Банкомат ВТБ,,8 (800) 100-24-24,,317168,,,,https://www.vtb.ru/
"пл. Павелецкая, д. 1А, корп. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.729741,37.639455,Банкомат ВТБ,,8 (800) 100-24-24,,319591,,,,https://www.vtb.ru/
"Центр р-н, ул. Андропова, д. 15",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,61.790989,34.362096,Банкомат ВТБ,,8 (800) 100-24-24,,371002,,,,https://www.vtb.ru/
"ул. Крымская, д. 59",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,44.8916,37.311516,Банкомат ВТБ,,8 (800) 100-24-24,,371003,,,,https://www.vtb.ru/
"ул. Энгельса, д. 32",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,44.717642,37.772307,Банкомат ВТБ,,8 (800) 100-24-24,,371004,,,,https://www.vtb.ru/
"ул. Северная, д. 324",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,45.040528,38.970103,Банкомат ВТБ,,8 (800) 100-24-24,,371005,,,,https://www.vtb.ru/
"ул. Невская, д. 11а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,48.717364,44.508037,Банкомат ВТБ,,8 (800) 100-24-24,,371006,,,,https://www.vtb.ru/
"ул. Невская, д. 11а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,48.717364,44.508037,Банкомат ВТБ,,8 (800) 100-24-24,,371007,,,,https://www.vtb.ru/
"ул. Карла Маркса, д. 8А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.327798,36.715517,Банкомат ВТБ,,8 (800) 100-24-24,,371012,,,,https://www.vtb.ru/
"ул. Карла Маркса, д. 8А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.327798,36.715517,Банкомат ВТБ,,8 (800) 100-24-24,,371013,,,,https://www.vtb.ru/
"пр-кт Боголюбова, д. 25",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.733746,37.155648,Банкомат ВТБ,,8 (800) 100-24-24,,371014,,,,https://www.vtb.ru/
"ул. Маршала Жукова Г.К., д. 9",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.383893,36.724765,Банкомат ВТБ,,8 (800) 100-24-24,,371018,,,,https://www.vtb.ru/
"пр-кт Науки, д. 1д",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.831851,37.623555,Банкомат ВТБ,,8 (800) 100-24-24,,371019,,,,https://www.vtb.ru/
"ул. Андропова, д. 56/30а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.887944,38.069529,Банкомат ВТБ,,8 (800) 100-24-24,,371020,,,,https://www.vtb.ru/
"ул. Советская, д. 12",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.834512,38.15039,Банкомат ВТБ,,8 (800) 100-24-24,,371023,,,,https://www.vtb.ru/
"ул. Рогожская, д. 81",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.856326,38.440429,Банкомат ВТБ,,8 (800) 100-24-24,,371024,,,,https://www.vtb.ru/
"ул. Рогожская, д. 81",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.856326,38.440429,Банкомат ВТБ,,8 (800) 100-24-24,,371025,,,,https://www.vtb.ru/
"ул. Бутко, д. 23/81",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.749479,36.225543,Банкомат ВТБ,,8 (800) 100-24-24,,371026,,,,https://www.vtb.ru/
"ул. Победы, д. 16",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.769898,38.443445,Банкомат ВТБ,,8 (800) 100-24-24,,371027,,,,https://www.vtb.ru/
"ул. Маршала Жукова, д. 16",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.677093,37.256611,Банкомат ВТБ,,8 (800) 100-24-24,,371029,,,,https://www.vtb.ru/
"ул. 1-я Советская, д. 36",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.031458,35.516853,Банкомат ВТБ,,8 (800) 100-24-24,,371032,,,,https://www.vtb.ru/
"пл. Октябрьская, стр. 10",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.035859,35.957216,Банкомат ВТБ,,8 (800) 100-24-24,,371033,,,,https://www.vtb.ru/
"пл. Октябрьская, стр. 10",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.035859,35.957216,Банкомат ВТБ,,8 (800) 100-24-24,,371034,,,,https://www.vtb.ru/
"ул. Ленина, д. 38Б",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.83385,37.298931,Банкомат ВТБ,,8 (800) 100-24-24,,371036,,,,https://www.vtb.ru/
"ул. Ленина, д. 81",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.813703,37.054176,Банкомат ВТБ,,8 (800) 100-24-24,,371037,,,,https://www.vtb.ru/
"ул. Ленина, стр. 81",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.813703,37.054176,Банкомат ВТБ,,8 (800) 100-24-24,,371038,,,,https://www.vtb.ru/
"ул. Социалистическая, д. 27",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.702034,36.194353,Банкомат ВТБ,,8 (800) 100-24-24,,371039,,,,https://www.vtb.ru/
"ул. 40 лет Октября, д. 52а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.586537,38.913114,Банкомат ВТБ,,8 (800) 100-24-24,,371040,,,,https://www.vtb.ru/
"ул. Тургенева, д. 24",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.010244,37.854638,Банкомат ВТБ,,8 (800) 100-24-24,,371043,,,,https://www.vtb.ru/
"пр-кт Красной Армии, д. 203в",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.322752,38.144012,Банкомат ВТБ,,8 (800) 100-24-24,,371044,,,,https://www.vtb.ru/
"пл. Урицкого, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.76581,38.878232,Банкомат ВТБ,,8 (800) 100-24-24,,371048,,,,https://www.vtb.ru/
"пл. Дмитрия Донского, д. 6",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.629953,37.850272,Банкомат ВТБ,,8 (800) 100-24-24,,371051,,,,https://www.vtb.ru/
"ул. Жуковского, д. 30А/1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.94414,39.03365,Банкомат ВТБ,,8 (800) 100-24-24,,371054,,,,https://www.vtb.ru/
"ул. Красноармейская, д. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.573011,38.231418,Банкомат ВТБ,,8 (800) 100-24-24,,371055,,,,https://www.vtb.ru/
"ул. 1-я Казахстанская, д. 1А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.907651,73.309893,Банкомат ВТБ,,8 (800) 100-24-24,,371059,,,,https://www.vtb.ru/
"пл. К.Маркса, д. 12",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.731156,37.528603,Банкомат ВТБ,,8 (800) 100-24-24,,371063,,,,https://www.vtb.ru/
"ул. Вокзальная, 2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.431218,37.561203,Банкомат ВТБ,,8 (800) 100-24-24,,371065,,,,https://www.vtb.ru/
"ул. Железнодорожная, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.786268,38.459824,Банкомат ВТБ,,8 (800) 100-24-24,,371067,,,,https://www.vtb.ru/
"пр-кт Московский, д. 12/2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.010221,37.848898,Банкомат ВТБ,,8 (800) 100-24-24,,371068,,,,https://www.vtb.ru/
"ул. Кржижановского, д. 12",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.873814,38.780783,Банкомат ВТБ,,8 (800) 100-24-24,,371070,,,,https://www.vtb.ru/
"ул. Советская, д. 184е",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,52.712851,41.67857,Банкомат ВТБ,,8 (800) 100-24-24,,371072,,,,https://www.vtb.ru/
"ул. Энгельса, д. 67",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,58.051264,60.560257,Банкомат ВТБ,,8 (800) 100-24-24,,371073,,,,https://www.vtb.ru/
"ул. Багратиона, д. 25А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.779203,32.022092,Банкомат ВТБ,,8 (800) 100-24-24,,371075,,,,https://www.vtb.ru/
"ул. Элеваторная, д. 3, корп. А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.774569,55.07509,Банкомат ВТБ,,8 (800) 100-24-24,,371078,,,,https://www.vtb.ru/
"пр-кт Победы, д. 13",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.776815,55.108714,Банкомат ВТБ,,8 (800) 100-24-24,,371080,,,,https://www.vtb.ru/
"ул. Гоголя, д. 6",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,52.704415,41.472663,Банкомат ВТБ,,8 (800) 100-24-24,,371081,,,,https://www.vtb.ru/
"ул. Лесозащитная, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,52.020137,48.79089,Банкомат ВТБ,,8 (800) 100-24-24,,371082,,,,https://www.vtb.ru/
"ул. Шпалерная, д. 56, корп. Е",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.949596,30.375956,Банкомат ВТБ,,8 (800) 100-24-24,,372006,,,,https://www.vtb.ru/
стр. ТЦ Базис,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.659246,52.264704,Банкомат ВТБ,,8 (800) 100-24-24,,372008,,,,https://www.vtb.ru/
"ул. Пушкинская, д. 162",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,47.227219,39.727949,Банкомат ВТБ,,8 (800) 100-24-24,,372009,,,,https://www.vtb.ru/
"ул. Дмитрия Мартынова, д. 12",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.039208,92.881875,Банкомат ВТБ,,8 (800) 100-24-24,,372015,,,,https://www.vtb.ru/
"ул. Тверская, д. 8, корп. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.762115,37.609631,Банкомат ВТБ,,8 (800) 100-24-24,,372020,,,,https://www.vtb.ru/
"ул. Базарная, д. 34",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,45.583687,38.371555,Банкомат ВТБ,,8 (800) 100-24-24,,372021,,,,https://www.vtb.ru/
"ул. Ленина, д. 5",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,45.294162,37.90904,Банкомат ВТБ,,8 (800) 100-24-24,,372022,,,,https://www.vtb.ru/
"пл. Гагарина, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,47.237302,39.712255,Банкомат ВТБ,,8 (800) 100-24-24,,372023,,,,https://www.vtb.ru/
"ул. Серафима Саровского, д. 2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.733262,36.194416,Банкомат ВТБ,,8 (800) 100-24-24,,372024,,,,https://www.vtb.ru/
"ул. Тимирязева, д. 31А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.307571,43.993913,Банкомат ВТБ,,8 (800) 100-24-24,,372026,,,,https://www.vtb.ru/
"ул. Звеньевая, д. 1а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,43.367794,45.677149,Банкомат ВТБ,,8 (800) 100-24-24,,372027,,,,https://www.vtb.ru/
"ул. Менделеева, д. 205а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.74141,56.026918,Банкомат ВТБ,,8 (800) 100-24-24,,372028,,,,https://www.vtb.ru/
"ул. 1 Мая, д. 1А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.227255,43.713693,Банкомат ВТБ,,8 (800) 100-24-24,,372029,,,,https://www.vtb.ru/
"ул. Кирова, д. 30",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.494962,61.582181,Банкомат ВТБ,,8 (800) 100-24-24,,372030,,,,https://www.vtb.ru/
"пр-кт Московский, д. 103, корп. 2, лит. Н",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.891259,30.316892,Банкомат ВТБ,,8 (800) 100-24-24,,372032,,,,https://www.vtb.ru/
"пер. Петроверигский, д. 10, корп. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.756452,37.638144,Банкомат ВТБ,,8 (800) 100-24-24,,372045,,,,https://www.vtb.ru/
"проезд Китайгородский, д. 7",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.752516,37.634416,Банкомат ВТБ,,8 (800) 100-24-24,,372046,,,,https://www.vtb.ru/
"ул. Рихарда Зорге, д. 75",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.773756,56.016875,Банкомат ВТБ,,8 (800) 100-24-24,,372050,,,,https://www.vtb.ru/
"ул. Машиностроителей, стр. 45а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.883312,60.577631,Банкомат ВТБ,,8 (800) 100-24-24,,372051,,,,https://www.vtb.ru/
"пл. Крюковская, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.982688,37.17499,Банкомат ВТБ,,8 (800) 100-24-24,,372054,,,,https://www.vtb.ru/
"МКАД 19-й км, влад. 20, корп. 2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.621577,37.786554,Банкомат ВТБ,,8 (800) 100-24-24,,372055,,,,https://www.vtb.ru/
"ул. Новодмитровская, д. 5А, стр. 8",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.805756,37.58897,Банкомат ВТБ,,8 (800) 100-24-24,,372056,,,,https://www.vtb.ru/
"ул. Большая Никитская, д. 13/6",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.756386,37.604951,Банкомат ВТБ,,8 (800) 100-24-24,,372060,,,,https://www.vtb.ru/
"пр-кт Ленинградский, д. 36, стр. 9",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.788692,37.567024,Банкомат ВТБ,,8 (800) 100-24-24,,372064,,,,https://www.vtb.ru/
"ул. Ленина, домовлад. 102",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.335229,34.642559,Банкомат ВТБ,,8 (800) 100-24-24,,372069,,,,https://www.vtb.ru/
"ул. Тургенева, д. 64",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.689811,84.981048,Банкомат ВТБ,,8 (800) 100-24-24,,372071,,,,https://www.vtb.ru/
"ул. Намёткина, д. 10Г, стр. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.662014,37.553298,Банкомат ВТБ,,8 (800) 100-24-24,,372074,,,,https://www.vtb.ru/
"ул. 25 Сентября, д. 35а",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.769097,32.08174,Банкомат ВТБ,,8 (800) 100-24-24,,372078,,,,https://www.vtb.ru/
"ул. Рабочая 2-я, д. 23",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.734227,36.243042,Банкомат ВТБ,,8 (800) 100-24-24,,372080,,,,https://www.vtb.ru/
"ул. Карбышева, д. 8",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.786004,37.971365,Банкомат ВТБ,,8 (800) 100-24-24,,372082,,,,https://www.vtb.ru/
"проезд Транспортный, д. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.913823,37.414643,Банкомат ВТБ,,8 (800) 100-24-24,,372083,,,,https://www.vtb.ru/
"ул. Салмышская, д. 31",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.830713,55.155759,Банкомат ВТБ,,8 (800) 100-24-24,,372085,,,,https://www.vtb.ru/
"ш. Красногорское, д. 15",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.683559,37.269529,Банкомат ВТБ,,8 (800) 100-24-24,,372086,,,,https://www.vtb.ru/
"ул. Махова, д. 14",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.574442,38.215105,Банкомат ВТБ,,8 (800) 100-24-24,,372087,,,,https://www.vtb.ru/
"ул. Радищева, д. 19",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,58.467343,56.408046,Банкомат ВТБ,,8 (800) 100-24-24,,372090,,,,https://www.vtb.ru/
"мкр. Новые Ляды, ул. Коммунистическая, д. 26",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,58.053168,56.600541,Банкомат ВТБ,,8 (800) 100-24-24,,372091,,,,https://www.vtb.ru/
"ул. Первомайская, влад. 25",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.135519,38.426883,Банкомат ВТБ,,8 (800) 100-24-24,,372092,,,,https://www.vtb.ru/
"ул. Луначарского, д. 13",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.815392,37.08886,Банкомат ВТБ,,8 (800) 100-24-24,,372093,,,,https://www.vtb.ru/
"ул. Урицкого, д. 64",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.876638,37.343119,Банкомат ВТБ,,8 (800) 100-24-24,,372094,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.971203,30.347374,Банкомат ВТБ,,8 (800) 100-24-24,,372096,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.970998,30.347585,Банкомат ВТБ,,8 (800) 100-24-24,,372097,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,60.012744,30.396241,Банкомат ВТБ,,8 (800) 100-24-24,,372098,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.907437,30.483359,Банкомат ВТБ,,8 (800) 100-24-24,,372099,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.919865,30.466704,Банкомат ВТБ,,8 (800) 100-24-24,,372100,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.929421,30.41146,Банкомат ВТБ,,8 (800) 100-24-24,,372101,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.849817,30.268924,Банкомат ВТБ,,8 (800) 100-24-24,,372102,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.853406,30.269578,Банкомат ВТБ,,8 (800) 100-24-24,,372103,,,,https://www.vtb.ru/
"б-р Новаторов, д. 2, лит. А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.853406,30.269578,Банкомат ВТБ,,8 (800) 100-24-24,,372104,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.867308,30.261403,Банкомат ВТБ,,8 (800) 100-24-24,,372105,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.901111,30.275004,Банкомат ВТБ,,8 (800) 100-24-24,,372106,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.879159,30.318698,Банкомат ВТБ,,8 (800) 100-24-24,,372107,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.93543,30.327277,Банкомат ВТБ,,8 (800) 100-24-24,,372108,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.934064,30.332756,Банкомат ВТБ,,8 (800) 100-24-24,,372109,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.934064,30.332756,Банкомат ВТБ,,8 (800) 100-24-24,,372110,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.966394,30.311502,Банкомат ВТБ,,8 (800) 100-24-24,,372112,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.966394,30.311502,Банкомат ВТБ,,8 (800) 100-24-24,,372113,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.927561,30.348797,Банкомат ВТБ,,8 (800) 100-24-24,,372114,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.952145,30.291484,Банкомат ВТБ,,8 (800) 100-24-24,,372115,,,,https://www.vtb.ru/
"пер. Спартака, домовлад. 2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,51.285053,34.28308,Банкомат ВТБ,,8 (800) 100-24-24,,372116,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.948456,30.234633,Банкомат ВТБ,,8 (800) 100-24-24,,372117,,,,https://www.vtb.ru/
,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,59.924277,30.385276,Банкомат ВТБ,,8 (800) 100-24-24,,372118,,,,https://www.vtb.ru/
"ул. Гагарина, д. 24",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.061333,32.698497,Банкомат ВТБ,,8 (800) 100-24-24,,372121,,,,https://www.vtb.ru/
"ул. Буденного, стр. 8",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.685814,60.504571,Банкомат ВТБ,,8 (800) 100-24-24,,372124,,,,https://www.vtb.ru/
"пр-кт Комсомольский, д. 108",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.189706,61.290138,Банкомат ВТБ,,8 (800) 100-24-24,,372125,,,,https://www.vtb.ru/
"ул. Парковая, д. 4",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,54.461797,19.94153,Банкомат ВТБ,,8 (800) 100-24-24,,372126,,,,https://www.vtb.ru/
"ул. Чернышевского, д. 36А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.789264,49.100296,Банкомат ВТБ,,8 (800) 100-24-24,,372128,,,,https://www.vtb.ru/
"ул. Мира, д. 20",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,57.06138,63.749052,Банкомат ВТБ,,8 (800) 100-24-24,,372130,,,,https://www.vtb.ru/
