addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Московская область, Воскресенск, микрорайон Центральный",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.3214,38.6722,,,74955043487|74952230200,,MAR005,,,,https://av.ru/
"Москва, улица Генерала Глаголева, 14",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.782216,37.462615,,,74955043487|74952230200,,АВ157,,,,https://av.ru/
"Московская область, Одинцовский городской округ, посёлок Горки-2, 11",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.724575,37.15906,,,74955043487|74952230200,,AB009,,,,https://av.ru/
"Москва, улица Гризодубовой, 1А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.781987,37.534315,,,74955043487|74952230200,,AB010,,,,https://av.ru/
"Москва, поселение Московский, деревня Лапшинка, вл8к20",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.608917,37.332573,,,74955043487|74952230200,,AB021,,,,https://av.ru/
"Москва, Делегатская улица, 9с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.775705,37.613677,,,74955043487|74952230200,,АВ133,,,,https://av.ru/
"Московская область, городской округ Истра, деревня Борзые, Невская улица, 704А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.812182,37.042091,,,74955043487|74952230200,,АВ158,,,,https://av.ru/
"Московская область, Одинцовский городской округ, деревня Лапино, коттеджный посёлок Новое Лапино, с70",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.684234,37.136309,,,74955043487|74952230200,,АВ102,,,,https://av.ru/
"Московская область, Дмитров, Профессиональная улица, 7",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,56.352547,37.520913,,,74955043487|74952230200,,MAR007,,,,https://av.ru/
"Москва, Дмитровское шоссе, 108Бс1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.886337,37.543563,,,74955043487|74952230200,,AB012,,,,https://av.ru/
"Московская область, городской округ Мытищи, деревня Шолохово, Дмитровское шоссе, 2Бс1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,56.056088,37.53082,,,74955043487|74952230200,,AB011,,,,https://av.ru/
"Москва, Долгоруковская улица, 40",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.779317,37.602751,,,74955043487|74952230200,,АВ146,,,,https://av.ru/
"Московская область, Жуковский, улица Дзержинского, 3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.597483,38.13343,,,74955043487|74952230200,,MAR004,,,,https://av.ru/
"Москва, Жулебинский бульвар, 16",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.69643,37.852908,,,74955043487|74952230200,,AB015,,,,https://av.ru/
"Московская область, Одинцовский городской округ, рабочий посёлок Заречье, Заречная улица, 2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.688489,37.394791,,,74955043487|74952230200,,AB037,,,,https://av.ru/
"Москва, Зеленоград, к514с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.99755,37.236738,,,74955043487|74952230200,,AB017,,,,https://av.ru/
"Москва, улица Исаковского, 33",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.804888,37.419132,,,74955043487|74952230200,,АВ094,,,,https://av.ru/
"Москва, поселение Сосенское, Калужское шоссе, 1-й километр, 8Б",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.601757,37.482895,,,74955043487|74952230200,,AB019,,,,https://av.ru/
"Москва, Каширское шоссе, 78к1А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.641134,37.682486,,,74955043487|74952230200,,AB020,,,,https://av.ru/
"Москва, Комсомольский проспект, 34",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.724569,37.577651,,,74955043487|74952230200,,AB022,,,,https://av.ru/
"Москва, Комсомольский проспект, 4",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.733117,37.592385,,,74955043487|74952230200,,AB023,,,,https://av.ru/
"Московская область, Королёв, проспект Космонавтов, 4В",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.920457,37.867866,,,74955043487|74952230200,,AB024,,,,https://av.ru/
"Москва, улица Космонавтов, 4",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.820981,37.645801,,,74955043487|74952230200,,АВ123,,,,https://av.ru/
"Москва, поселение Сосенское, деревня Зимёнки, коттеджный посёлок Антоновка, Садовая улица, 1к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.5731,37.392,,,74955043487|74952230200,,АВ219,,,,https://av.ru/
"Москва, улица Красная Пресня, 14",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.761701,37.572199,,,74955043487|74952230200,,АВ092,,,,https://av.ru/
"Московская область, Красногорск, улица Ленина, 35А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.82956,37.307689,,,74955043487|74952230200,,AB025,,,,https://av.ru/
"Москва, Кутузовский проспект, 18",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.746953,37.552837,,,74955043487|74952230200,,АВ128,,,,https://av.ru/
"Москва, Кутузовский проспект, 36А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.738682,37.526244,,,74955043487|74952230200,,AVDAILY018,,,,https://av.ru/
"Москва, Кутузовский проспект, 8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.749035,37.560174,,,74955043487|74952230200,,AB026,,,,https://av.ru/
"Москва, Ленинградский проспект, 36с36",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7889,37.5688,,,74955043487|74952230200,,МФЛП36_Т,,,,https://av.ru/
"Москва, Ленинградский проспект, 52",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.797101,37.541274,,,74955043487|74952230200,,AB027,,,,https://av.ru/
"Москва, Ленинградский проспект, 69с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.8033,37.518,,,74955043487|74952230200,,AVDAILY020,,,,https://av.ru/
"Москва, Ленинградское шоссе, 112/1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.863648,37.465432,,,74955043487|74952230200,,АВ132,,,,https://av.ru/
"Москва, Выборгская улица, 1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.833346,37.486709,,,74955043487|74952230200,,AB028,,,,https://av.ru/
"Москва, Ленинградское шоссе, 68",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.845602,37.477595,,,74955043487|74952230200,,АВ124,,,,https://av.ru/
"Москва, Ленинский проспект, 21",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.718158,37.596166,,,74955043487|74952230200,,AB029,,,,https://av.ru/
"Москва, Ленинский проспект, 34/1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.707187,37.578027,,,74955043487|74952230200,,AB030,,,,https://av.ru/
"Москва, Ленинский проспект, 54",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.697842,37.560746,,,74955043487|74952230200,,AB031,,,,https://av.ru/
"Москва, Ленинский проспект, 64/2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.692432,37.551772,,,74955043487|74952230200,,AB032,,,,https://av.ru/
"Москва, Ленинский проспект, 77к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.685521,37.542583,,,74955043487|74952230200,,АВ143,,,,https://av.ru/
"Москва, Ленинский проспект, 82",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.681428,37.5345,,,74955043487|74952230200,,AVDAILY009,,,,https://av.ru/
"Москва, Ленинский проспект, 91",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.676481,37.529255,,,74955043487|74952230200,,AVDAILY002,,,,https://av.ru/
"Москва, Люблинская улица, 96",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.657,37.7396,,,74955043487|74952230200,,АВЛБ96,,,,https://av.ru/
"Москва, Люсиновская улица, 60",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.718371,37.62207,,,74955043487|74952230200,,AB033,,,,https://av.ru/
"Москва, Лялин переулок, 11-13/1с2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7584,37.6526,,,74955043487|74952230200,,МФЛЯЛ11_Т,,,,https://av.ru/
"Москва, Усачёвский переулок",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.727262,37.566922,,,74955043487|74952230200,,АВ148,,,,https://av.ru/
"Москва, проспект Маршала Жукова, 41к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.775593,37.469889,,,74955043487|74952230200,,AB034,,,,https://av.ru/
"Москва, улица Маршала Рыбалко, 2к6",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.797339,37.496265,,,74955043487|74952230200,,АВ149,,,,https://av.ru/
"Москва, Минская улица, 14к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.737784,37.485725,,,74955043487|74952230200,,АВ160,,,,https://av.ru/
"Москва, Мичуринский проспект, 22к1с2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.700959,37.503439,,,74955043487|74952230200,,AB035,,,,https://av.ru/
"Москва, Мичуринский проспект, 58к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.691266,37.486566,,,74955043487|74952230200,,AB036,,,,https://av.ru/
"Москва, Мичуринский проспект, 3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7045,37.5127,,,74955043487|74952230200,,АВ213,,,,https://av.ru/
"Москва, Можайское шоссе, 32",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.719792,37.419112,,,74955043487|74952230200,,AB038,,,,https://av.ru/
"Москва, Мосфильмовская улица, к7",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7167,37.5091,,,74955043487|74952230200,,МФМОСФ70_Т,,,,https://av.ru/
"Москва, Мосфильмовская улица, 88к2с4",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.704167,37.49345,,,74955043487|74952230200,,АВ113,,,,https://av.ru/
"Московская область, Мытищи, Коммунистическая улица, 10к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.891928,37.745123,,,74955043487|74952230200,,AB039,,,,https://av.ru/
"Московская область, городской округ Мытищи, деревня Бородино, Осташковское шоссе, 59",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.921723,37.664471,,,74955043487|74952230200,,AB046,,,,https://av.ru/
"Москва, Мытная улица, 7с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.721957,37.617467,,,74955043487|74952230200,,АВ141,,,,https://av.ru/
"Москва, улица Народного Ополчения, 46к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.792974,37.493403,,,74955043487|74952230200,,АВ150,,,,https://av.ru/
"Москва, Нахимовский проспект, 61",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.679164,37.559868,,,74955043487|74952230200,,AB040,,,,https://av.ru/
"Москва, Нижегородская улица, 16с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.737688,37.683458,,,74955043487|74952230200,,AB041,,,,https://av.ru/
"Москва, Николоямский переулок, 2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.749251,37.662327,,,74955043487|74952230200,,AB042,,,,https://av.ru/
"Москва, Никольская улица, 10",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.758103,37.624148,,,74955043487|74952230200,,АВ106,,,,https://av.ru/
"Москва, Новинский бульвар, 31",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.757649,37.582342,,,74955043487|74952230200,,АВ153,,,,https://av.ru/
"Москва, Новинский бульвар, 8с2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.751237,37.583634,,,74955043487|74952230200,,AB043,,,,https://av.ru/
"Москва, Новокузнецкая улица, 1с3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.740723,37.629894,,,74955043487|74952230200,,AVDAILY003,,,,https://av.ru/
"Московская область, городской округ Красногорск, Новорижское шоссе, 7-й километр, с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.799535,37.279606,,,74955043487|74952230200,,AB044,,,,https://av.ru/
"Московская область, городской округ Красногорск, Новорижское шоссе, 23-й километр, вл2с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.799276,37.274495,,,74955043487|74952230200,,MAR003,,,,https://av.ru/
"Москва, Новочерёмушкинская улица, 60к2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.665894,37.558051,,,74955043487|74952230200,,АВ161,,,,https://av.ru/
"Московская область, Одинцовский городской округ, 2-й Лохинский посёлок",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.690424,37.30255,,,74955043487|74952230200,,MAR002,,,,https://av.ru/
"Московская область, Одинцово, Можайское шоссе, 133А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.684236,37.29612,,,74955043487|74952230200,,AB045,,,,https://av.ru/
"Москва, Олимпийский проспект, 30с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.791042,37.622745,,,74955043487|74952230200,,АВ136,,,,https://av.ru/
"Москва, Осенний бульвар, 8к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.755318,37.409122,,,74955043487|74952230200,,АВОСЕН,,,,https://av.ru/
"Москва, улица Остоженка, 10",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7427,37.5999,,,74955043487|74952230200,,АВ144,,,,https://av.ru/
"Москва, улица Остоженка, 42/2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7375,37.5948,,,74955043487|74952230200,,МФОСТ42_Т,,,,https://av.ru/
"Москва, улица Островитянова, 2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.646189,37.486105,,,74955043487|74952230200,,AB047,,,,https://av.ru/
"Москва, улица Плющиха, 44/2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.739631,37.575719,,,74955043487|74952230200,,AVDAILY021,,,,https://av.ru/
"Москва, улица Покровка, 15/16с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7594,37.6447,,,74955043487|74952230200,,AVDAILY007,,,,https://av.ru/
"Москва, улица Покрышкина, 4",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.664819,37.48192,,,74955043487|74952230200,,AB049,,,,https://av.ru/
"Москва, улица Поликарпова, 17/2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.777819,37.549582,,,74955043487|74952230200,,АВ134,,,,https://av.ru/
"Московская область, Одинцовский городской округ, рабочий посёлок Новоивановское, Западная улица, 12",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.708887,37.361793,,,74955043487|74952230200,,AB016,,,,https://av.ru/
"Москва, Пресненская набережная, 12",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.749483,37.537959,,,74955043487|74952230200,,АВПРН-12,,,,https://av.ru/
"Москва, улица Пречистенка, 24/1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.741698,37.593542,,,74955043487|74952230200,,АВ109,,,,https://av.ru/
"Москва, проезд Аэропорта, 8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.797175,37.522276,,,74955043487|74952230200,,AVDAILY015,,,,https://av.ru/
"Москва, проспект Вернадского, 14А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.677941,37.507761,,,74955043487|74952230200,,AB050,,,,https://av.ru/
"Москва, проспект Мира, 112А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.807695,37.638057,,,74955043487|74952230200,,AVDAILY017,,,,https://av.ru/
"Москва, проспект Мира, 49",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.783631,37.634001,,,74955043487|74952230200,,AVDAILY010,,,,https://av.ru/
"Москва, проспект Мира, 58",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.785665,37.636025,,,74955043487|74952230200,,АВ083,,,,https://av.ru/
"Москва, проспект Мира, 97",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.809804,37.636631,,,74955043487|74952230200,,AB052,,,,https://av.ru/
"Москва, Проточный переулок, 11",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.750164,37.578469,,,74955043487|74952230200,,AB058,,,,https://av.ru/
"Москва, Профсоюзная улица, 104",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.642703,37.524625,,,74955043487|74952230200,,АВ138,,,,https://av.ru/
"Москва, Профсоюзная улица, 126к2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.631445,37.517138,,,74955043487|74952230200,,АВ114,,,,https://av.ru/
"Москва, Профсоюзная улица, 16/10",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.684199,37.568964,,,74955043487|74952230200,,AB055,,,,https://av.ru/
"Москва, Профсоюзная улица, 64/66",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.665975,37.549069,,,74955043487|74952230200,,AB054,,,,https://av.ru/
"Москва, улица Пырьева, 8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.726122,37.527139,,,74955043487|74952230200,,АВ107,,,,https://av.ru/
"Москва, Пятницкая улица, 13",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.743764,37.628215,,,74955043487|74952230200,,AVDAILY011,,,,https://av.ru/
"Москва, Пятницкое шоссе, 14",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.841487,37.385898,,,74955043487|74952230200,,AB057,,,,https://av.ru/
"Московская область, Пятницкое шоссе, вл8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.890277,37.300861,,,74955043487|74952230200,,AB056,,,,https://av.ru/
"Московская область, Раменское, улица Михалевича, 72А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.559294,38.25049,,,74955043487|74952230200,,MAR006,,,,https://av.ru/
"Московская область, Одинцовский городской округ, деревня Жуковка, 201",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.737345,37.247161,,,74955043487|74952230200,,AB014,,,,https://av.ru/
"Москва, Рублёвское шоссе, 42к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.750691,37.412454,,,74955043487|74952230200,,AB163,,,,https://av.ru/
"Москва, Русаковская улица, 22",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.786357,37.67847,,,74955043487|74952230200,,AB059,,,,https://av.ru/
"Москва, Садовая-Триумфальная улица",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.771843,37.602678,,,74955043487|74952230200,,АВ137,,,,https://av.ru/
"Москва, Садовая-Черногрязская улица, 13с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.764705,37.656132,,,74955043487|74952230200,,AB061,,,,https://av.ru/
